# case=1, n=1000, m=10000, p_member=0.99, p_insert=0.005, p_delete=0.005, trial=20250828_173514
impl,threads,elapsed_ms
serial,1,5.854
serial,1,5.557
serial,1,5.917
serial,1,5.875
serial,1,6.513
mutex,1,6.376
rwlock,1,7.977
mutex,1,7.861
rwlock,1,7.409
mutex,1,6.227
rwlock,1,7.151
mutex,1,7.187
rwlock,1,7.208
mutex,1,7.563
rwlock,1,8.464
mutex,2,8.853
rwlock,2,5.671
mutex,2,9.785
rwlock,2,5.631
mutex,2,8.151
rwlock,2,5.474
mutex,2,8.448
rwlock,2,5.765
mutex,2,8.268
rwlock,2,5.885
mutex,4,9.841
rwlock,4,6.398
mutex,4,9.449
rwlock,4,6.985
mutex,4,8.351
rwlock,4,6.543
mutex,4,8.766
rwlock,4,6.792
mutex,4,9.532
rwlock,4,6.975
mutex,8,9.104
rwlock,8,7.311
mutex,8,9.370
rwlock,8,7.293
mutex,8,9.495
rwlock,8,7.387
mutex,8,17.437
rwlock,8,6.886
mutex,8,8.385
rwlock,8,6.918
